name;kuerzel;zitierweise;umfang;umfang_lfm;zeitraum_von;zeitraum_bis;zeitraum_text;bkk_kategorie;bkk_unterkategorie;daten_unsicher;unsicherheit_anmerkung;kurzbeschreibung;form_inhalt;bestandsgeschichte;abgebende_stelle;provenienz;biografische_angaben;benutzungsmodalitaeten;reproduktionsbestimmungen;vorgaenger;nachfolger;verwandte_verzeichnungseinheiten;erschließungszustand_umfang;verzeichnungsformular;materialart;sprache_schrift;literaturhinweis;veroeffentlichungen
Ratsprotokolle im Justiz- und Politikfach;1.1.1.1.1.;StAKr, 1.1.1.1.1. (Krems und Stein, Ratsprotokolle im Justiz- und Politikfach);37 Bände = 4,5 lfm.;4,5;1507;1707;1507 - 1707;Verwaltung;Kommunale Verwaltung;nein;;Ratsprotokolle des gemeinsame Rates der Städte Krems und Stein im Justiz- und Politikfach.;"Die Ratsprotokolle im Justiz- und Politikfach umfassen bis zur Aufsplitterung in getrennte Serien sämtliche Verwaltungsangelegenheiten des Rates von Krems und Stein als oberstes Verwaltungsgremium. Die Einträge sind in Form von Beschlussprotokollen gehalten. Die Ratsprotokolle wurden zunächst in mehrjährigen Bänden gebunden.

Fehlende Jahrgänge: 1519-1526, 1656-1662, 1667-1670.";;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;;"Ratsprotokolle im Justizfach (1.1.1.1.2.); Ratsprotokolle im Politikfach (1.1.1.1.3.)";Ratsprotokoll-Rapulare (1.1.1.2.);;Amtsbücher;Papier;"de ; Handschrift (Kurrent)";;
Ratsprotokolle im Justizfach;1.1.1.1.2.;StAKr, 1.1.1.1.2. (Krems und Stein, Ratsprotokolle im Justizfach);66 Bände = 6,9 lfm.;6,9;1757;1849;1757 - 1849;Verwaltung;Kommunale Verwaltung;nein;;Ratsprotokolle des gemeinsamen Rates der Städte Krems und Stein im Justizfach;"Bis zur Aufsplitterung in einzelne Serien wurden Justiz- und Politikangelegenheiten des Rates von Krems und Stein in einer gemeinsamen Serie (StAKr, 1.1.1.1.1.) geführt und anschließend aufgespalten. Im Justizfach wurden vor allem Verhandlungen in der Zivilgerichtsbarkeit abgehandelt.

Fehlender Jahrgang: 1786.";;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;Ratsprotokolle im Justiz- und Politikfach (1.1.1.1.1.);;Ratsprotokoll-Rapulare (1.1.1.2.);;Amtsbücher;Papier;"de ; Handschrift (Kurrent)";;
Ratsprotokolle im Politikfach;1.1.1.1.3.;StAKr, 1.1.1.1.3. (Krems und Stein, Ratsprotokolle im Politikfach);63 Bände = 6,9 lfm.;6,9;1731;1849;1731 - 1849;Verwaltung;Kommunale Verwaltung;nein;;Ratsprotokolle des gemeinsamen Rates der Städte Krems und Stein im Politikfach;"Bis zur Aufsplitterung in einzelne Serien wurden Justiz- und Politikangelegenheiten des Rates von Krems und Stein in einer gemeinsamen Serie (StAKr, 1.1.1.1.1.) geführt und anschließend aufgespalten. Im Politikfach wurden vor allem die innere Verwaltung sowie das Auftreten nach außen abgehandelt.

Fehlende Jahrgänge: 1786-1789.";;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;Ratsprotokolle im Justiz- und Politikfach (1.1.1.1.1.);;Ratsprotokoll-Rapulare (1.1.1.2.);;Amtsbücher;Papier;"de ; Kurrent";;
Ratsprotokolle in Kriminalsachen;1.1.1.1.4.;StAKr, 1.1.1.1.4. (Krems und Stein, Ratsprotokolle in Kriminalsachen);13 Bände = 0,4 lfm.;0,4;1790;1849;1790 - 1849;Rechtswesen;Kriminalität;nein;;Ratsprotokolle des gemeinsamen Rates der Städte Krems und Stein in Kriminalsachen;Fehlende Jahrgänge: 1802-1820, 1830.;;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;;;Ratsprotokoll-Rapulare (1.1.1.2.);;Akten;Papier;"de ; Handschrift (Kurrent)";;
Ratsprotokolle in schweren Polizeiübertretungen;1.1.1.1.5.;StAKr, 1.1.1.1.5. (Krems und Stein, Ratsprotokolle in schweren Polizeiübertretungen);20 Bände = 0,5 lfm.;0,5;1804;1849;1804 - 1849;Rechtswesen;Kriminalität;nein;;Ratsprotokolle des gemeinsamen Rates der Städte Krems und Stein für schwere Polizeiübertretungen;Fehlende Jahrgänge: 1808-1817.;;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;;;Ratsprotokoll-Rapulare (1.1.1.2.);;Akten;Papier;"de ; Handschrift (Kurrent)";;
Ratsprotokoll-Rapulare in publicum et privatum;1.1.1.2.1.;StAKr, 1.1.1.2.1. (Krems und Stein, Ratsprotokoll-Rapulare in publicum et privatum);41 Bände = 5 Kartons + 6 Bände = 1,2 lfm.;1,2;1618;1735;1618 - 1735;Verwaltung;Kommunale Verwaltung;nein;;Ratsprotokoll-Rapulare des gemeinsamen Rates der Städte Krems und Stein für öffentliche und geheime Angelegenheiten;"Vorhandene Jahrgänge: 

Als ungebundene Hefte:
1618, 1628, 1629/1, 1629/2, 1635/1, 1635/2, 1635-1636, 1636/1, 1636/2, 1636-1637, 1644-1646, 1646-1647/1, 1646-1647/2, 1649-1650, 1649-1651, 1651, 1652/1, 1652/2, 1652-1654, 1660-1661, 1665-1666, 1682, 1683, 1689, 1695, 1696, 1697, 1698, 1704, 1706, 1707, 1714, 1715, 1716, 1719.

Als gebundene Bände:
1725, 1726, 1727, 1733, 1734, 1735.";;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;;"Ratsprotokoll-Rapulare in privatum (1.1.1.2.2.); Ratsprotokoll-Rapulare in publicum (1.1.1.2.3.)";Ratsprotokolle beider Städte Krems und Stein (1.1.1.1.);;Akten;Papier;"de ; Handschrift (Kurrent)";;
Ratsprotokoll-Rapulare in privatum;1.1.1.2.2.;StAKr, 1.1.1.2.2. (Krems und Stein, Ratsprotokoll-Rapulare in privatum);45 Bände = 2,7 lfm.;2,7;1736;1785;1736 - 1785;Verwaltung;Kommunale Verwaltung;nein;;Ratsprotokoll-Rapulare des gemeinsamen Rates der Städte Krems und Stein in geheimen Angelegenheiten;Fehlende Jahrgänge: 1739, 1740, 1748, 1774, 1783.;;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;Ratsprotokoll-Rapulare in privatum et publicum (1.1.1.2.1.);;Ratsprotokolle beider Städte Krems und Stein (1.1.1.1.);;Akten;Papier;"de ; Handschrift (Kurrent)";;
Ratsprotokoll-Rapulare in publicum;1.1.1.2.3.;StAKr, 1.1.1.2.3. (Ratsprotokoll-Rapulare in publicum);52 Bände = 1,8 lfm.;1,8;1731;1785;1731 - 1785;Verwaltung;Kommunale Verwaltung;nein;;Ratsprotokoll-Rapulare des gemeinsamen Rates der Städte Krems und Stein in öffentlichen Angelegenheiten;Fehlende Jahrgänge: 1733, 1735, 1767.;;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;Ratsprotokoll-Rapulare in privatum et publicum (1.1.1.2.1.);;Ratsprotokolle beider Städte Krems und Stein (1.1.1.1.);;Akten;Papier;"de ; Handschrift (Kurrent)";;
Missivprotokolle;1.1.1.3.;StAKr, 1.1.1.3. (Krems und Stein, Missivprotokolle);37 Bände = 4,5 lfm.;4,5;1507;1785;1507 - 1785;Verwaltung;Kommunale Verwaltung;nein;;Missivprotokolle des gemeinsamen Rates der Städte Krems und Stein;"Die Missivprotokolle stellen eine der zentralen Quellen der Krems-Steiner Verwaltungsgeschichte dar. Die umfangreichen Bände umfassen den auslaufenden Schriftverkehr des Rats beider Städte als oberstes Verwaltungsgremium. Die Schriftstücke sind im Volltext und mit vollständiger Datierung eingetragen und dokumentieren so sehr detailreich das nach außen gerichtete Handeln beider Städte.

Fehlende Jahrgänge: 1536-1548, 1620, 1650-1670.";;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;;;"StAKr, 1.1.1.4. (Krems und Stein, Missivprotokoll-Rapulare)
StAKr, 1.2.1.3. (Krems, Missivprotokolle)
";;Akten;Papier;"de ; Handschrift (Kurrent)";;
Missivprotokoll-Rapulare;1.1.1.4.;StAKr, 1.1.1.4. (Krems und Stein, Missivprotokoll-Rapulare);58 Bände = 44 Bände + 2 Kartons = 2,3 lfm.;2,3;1722;1785;1722 - 1785;Verwaltung;Kommunale Verwaltung;nein;;Missivprotokoll-Rapulare des gemeinsamen Rates der Städte Krems und Stein;"Die Missivprotokoll-Rapulare bilden einen Auszug wichtiger Schreiben aus den Missivprotokollen (1.1.1.3.). 

Fehlende Jahrgänge: 1723, 1727, 1730, 1779-1781. Für das Jahr 1731 wurde einmalig eine Trennung in zwei Bände (Missivprotokoll-Rapular in privatum sowie Missivprotokoll-Rapular in publicum) vorgenommen.";Der Jahrgang 1739 war zuvor bei den Ratsprotokoll-Rapularen eingeordnet.;Rat der Städte Krems und Stein;Rat der Städte Krems und Stein;;Uneingeschränkt möglich;Digitale Reproduktion möglich. Die eigene Herstellung von Reproduktionen ist kostenlos, für Auftragsdigitalisierungen gelten die Kosten in § 18 der Benutzerordnung (KS-PRAES-1/18/1-2020). Nichtkommerzielle Weiterverwendung unter CC-BY-NC-ND-4.0-Lizenz.;;;Missivprotokolle (1.1.1.3.);;Akten;Papier;"de ; Handschrift (Kurrent)";;
