id;Datum;Datum_unsicher;Name;personen_id;Beruf;Beruf_unsicher;Wirtschaftssektor;Buergen;buergen_id;Buergen_Berufe;Anmerkungen;Ort;orte_unsicher;Datum_Anmerkung;zuordnung_sicher;unsicherheit_anmerkung
BB-0001;1535-02-12;;Leonhart Hartman;leonhard_hartman;;;;;;;;;;Freitag vor Invocavit anno 1535 [1. Fastensonntag];;
BB-0002;1535-02-12;;Erasmus Sanntinger;erasmus_sanntinger;;;;;;;;;;;;
BB-0003;1535-03-12;;Hanns Braun;hans_braun;;;;;;;;;;Freitag vor Judica [5. Fastensonntag];;
BB-0004;1535-03-12;;Hanns Hartmann;hans_hartman;;;;;;;;;;;;
BB-0005;1535-04-30;;Brix Peninger;brix_peninger;;;;;;;;;;Freitag vor Philippi und Jacobi [Apostel Philippus und Jakobus, 3. Mai];;
BB-0006;1535-04-30;;Hanns Feuerer;hans_feuerer;;;;;;;;;;;;
BB-0007;1535-05-14;;Burckhart Zeissler;burckhart_zeissler;;;;;;;;;;Freitag vor Penthecostis [Pfingstsonntag];;
BB-0008;1535-05-28;;Hanns Urban;hans_urban;;;;;;;;;;Freitag post corporis Christi [Fronleichnam];;
BB-0009;1535-05-28;;Daniel Ernst Menszer;daniel_ernst_mensser;;;;;;;;;;;;
BB-0010;1535-06-01;;Erasm Hanifstingl;erasmus_hanifstingl;;;;;;;;;;;;
BB-0011;1535-06-11;;Lorenz Khuttner;lorenz_kuttner;;;;;;;;;;;;
BB-0012;1535-09-10;;Georg Ruttmair;georg_ruttmair;Kupferschmied;;Metall & Waffen;;;;;;;;ja;
BB-0013;1535-11-12;;Leonhart Podl;leonhard_podl;;;;;;;;;;Freitag nach Martmi [Martinstag, 11. November];;
BB-0014;1535-11-12;;Steffan Friedorffer;stephan_friedorffer;;;;;;;;;;;;
BB-0015;1536-04-28;;Hanns Bruckhmair;hans_bruckmair;Kupferschmied;;Metall & Waffen;;;;;;; Freitag den Misericordt dni [Miserikordias Domini, 2. Sonntag nach Ostern [Miserikordias kann auf keinen Freitag fallen. 28. April 1538 ist der Freitag vor];ja;
BB-0016;1536-06-16;;Philip Hinderholzer;phillip_hinderholzer;;;;;;;;;;Freitag nach corporis christi [Fronleichnam];;
BB-0017;1536-06-30;;Wolffganng Wazl;wolfgang_wazl;;;;;;;;;;Freitag nach Petri unnd Pauli [Apostel Petrus und Paulus, 29. Juni];;
BB-0018;1536-07-07;;Anndre Schmal;andreas_schmal;Kramer;;Handel;;;;;;;Freitag nach Udalrici [Ulrich von Augsburg, 4. Juli];ja;
BB-0019;1536-07-14;ja;Oswold Auer;oswald_auer;Fischer;;Lebensmittelhandwerk;;;;;;;Freitag nach Margarethe [Margareta von Antiochia, 13. oder 20. Juli];ja;
BB-0020;1536-09-15;;Leonhart Wurzer;leonhard_wurzer;Tischler;;Holz, Bau & Stein;;;;;;;Freitag nach Crucis [Kreuzerhöhung, 14. September];ja;
BB-0021;1536-09-15;;Hanns Horinger;hans_horinger;Schneider;;Textil & Bekleidung;;;;;;;Freitag nach Crucis [Kreuzerhöhung, 14. September];ja;
BB-0022;1536-09-23;;Leopold Khundtner;leopold_kundtner;;;;;;;;;;;;
BB-0023;1536-11-10;;Hanns Schwab;hans_schwab;;;;;;;;;; Freitag vor Martini [Martinstag, 11. November];;
