id;name;titel;familie;geburtsdatum;geburtsdatum_unsicher;sterbedatum;sterbedatum_unsicher;ehepartner_id;ehepartner_id_unsicher;vater_id;vater_id_unsicher;mutter_id;mutter_id_unsicher;anmerkung;unsicherheit_anmerkung;hrr_status;herrschaft_von;herrschaft_bis
rudolf_i;Rudolf I. von Habsburg;"Graf von Habsburg; ab 1273 römisch-deutscher König";habsburg;1. Mai 1218;nein;15. Juli 1291;nein;gertrud_von_hohenberg|agnes_von_burgund;nein;;;;;"Begründer der habsburgischen Herrschaft über Österreich (1282 Belehnung seiner Söhne). Erste Ehe mit Gertrud (Anna) von Hohenberg; zweite, kinderlose Ehe 1284 mit Agnes (Isabella) von Burgund.";;koenig;1273;1291
gertrud_von_hohenberg;Gertrud (Anna) von Hohenberg;Römisch-deutsche Königin (durch Heirat);hohenberg;um 1225;ja;16. Februar 1281;nein;rudolf_i;nein;;;;;"Erste Gemahlin Rudolfs I. (Heirat um 1253/54), nach der Königswahl auch ""Anna"" genannt. Mutter Albrechts I. und Leopolds I. sowie zahlreicher weiterer Kinder.";;koenigin_heirat;;
albrecht_i;Albrecht I. von Habsburg;"Herzog von Österreich, Steiermark und Krain (ab 1282); römisch-deutscher König (ab 1298)";habsburg;Juli 1255;nein;1. Mai 1308;nein;elisabeth_von_goerz_tirol;nein;rudolf_i;nein;gertrud_von_hohenberg;nein;"Ermordet von seinem Neffen Johann ""Parricida"". Vater Rudolfs III., Leopolds I. und Albrechts II. (""der Lahme"").";;koenig;1298;1308
elisabeth_von_goerz_tirol;Elisabeth von Görz-Tirol;Römisch-deutsche Königin (durch Heirat);goerz_tirol;um 1262;ja;28. Oktober 1313;nein;albrecht_i;nein;;;;;Gemahlin Albrechts I. (Heirat 1274 bzw. 1276 in Wien). Mutter Rudolfs III., Leopolds I. und Albrechts II.;;koenigin_heirat;;
agnes_von_burgund;Agnes (Isabella) von Burgund;Römisch-deutsche Königin (durch Heirat);burgund;um 1270;ja;um 1323;ja;rudolf_i;nein;;;;;"Zweite Ehefrau Rudolfs I. (Heirat 1284); die Ehe blieb kinderlos.";;koenigin_heirat;;
blanche_von_frankreich;Blanche von Frankreich;Herzogin von Österreich (durch Heirat);frankreich_kapetinger;um 1282;ja;1. März 1305;nein;rudolf_iii;nein;;;;;"Erste, kinderlose Ehe Rudolfs III. (geschlossen 1300 in Paris); Tochter König Philipps III. von Frankreich. Starb noch als 20-Jährige in Wien.";;keiner;;
rudolf_iii;Rudolf III. von Österreich (Rudolf I. von Böhmen);"Herzog von Österreich und der Steiermark (1298-1306); König von Böhmen und Titularkönig von Polen (1306-1307)";habsburg;um 1282;ja;4. Juli 1307;nein;blanche_von_frankreich|elisabeth_richza_von_polen;nein;albrecht_i;nein;elisabeth_von_goerz_tirol;nein;Ältester Sohn Albrechts I. Beide Ehen blieben kinderlos.;;keiner;;
elisabeth_richza_von_polen;Elisabeth Richza von Polen;Königin von Böhmen (durch Heirat mit Rudolf III., zuvor mit Wenzel II.);piasten;1286 oder 1288;ja;1335;nein;rudolf_iii;nein;;;;;"Zweite, kinderlose Ehe Rudolfs III. (geschlossen 16. Oktober 1306); Witwe König Wenzels II. von Böhmen, Tochter Herzog Przemysław II. von Großpolen.";;keiner;;
albrecht_ii;"Albrecht II. (""der Lahme""/""der Weise"")";Herzog von Österreich, Steiermark (ab 1330) und Kärnten (ab 1335), Herr von Krain;habsburg;12. Dezember 1298;nein;20. Juli 1358;nein;johanna_von_pfirt;nein;albrecht_i;nein;elisabeth_von_goerz_tirol;nein;"Vater Rudolfs IV., Albrechts III. und Leopolds III. Beiname ""der Lahme"" nach vermutlich rheumatischer Lähmung ab 1330.";;keiner;;
johanna_von_pfirt;Johanna von Pfirt;"Herzogin von Österreich (durch Heirat); Erbgräfin von Pfirt";pfirt;1300;nein;15. November 1351;nein;albrecht_ii;nein;;;;;"Gemahlin Albrechts II. (Heirat 26. März 1324); Erbtochter Graf Ulrichs III. von Pfirt. Mutter Rudolfs IV., Albrechts III. und Leopolds III. Die Ehe blieb 15 Jahre kinderlos, bevor Rudolf IV. geboren wurde.";;keiner;;
