orte_id;orte;lat;lon;haeufigkeit;orte_unsicher;unsicherheit_anmerkung
aalst_belgien;Aalst, Belgien;50,9397;4,0413;1;nein;
absdorf;Absdorf;48,4001618;15,9803689;4;nein;
admont;Admont;47,5752001;14,5254164;3;nein;
aggsbach;Aggsbach;48,3020424;15,3894237;1;nein;
aggstein;Aggstein;48,3101942;15,4258899;1;nein;
altenburg_im_waldviertel;Altenburg im Waldviertel;48,7247;15,6792;1;nein;
altled;Altled;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0716a).
andrach;Andrach;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0714a).
ankenwarth;Ankenwarth;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0337).
asparn_an_der_zaya;Asparn an der Zaya;48,5860906;16,4970589;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0246).
augsburg;Augsburg;48,3690341;10,8979522;1;nein;
bacharach;Bacharach;50,0597943;7,7683997;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0501).
bad_gastein;Bad Gastein;47,0871124;13,160853;1;nein;
bad_hall;Bad Hall;48,0348017;14,2091385;1;nein;
bamberg;Bamberg;49,8916044;10,8868478;1;nein;
baumburg;Baumburg;47,9949653;12,5298891;1;nein;
baumgarten_am_tullnerfeld;Baumgarten am Tullnerfeld;48,2831751;16,0317687;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0128).
baumgartenberg;Baumgartenberg;48,2091891;14,7451588;5;nein;
berchtesgaden;Berchtesgaden;47,6330221;13,0020051;6;nein;
blumenau;Blumenau;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0227).
bratislava;Bratislava;48,1516988;17,1093063;1;nein;
bruck_an_der_mur;Bruck an der Mur;47,4121987;15,2721668;1;nein;
brunn_im_felde;Brunn im Felde;48,4333;15,7167;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0570a).
budapest;Budapest;47,4978789;19,0402383;1;nein;
