personen_id;schreibweisen;quelle;anzahl_nennungen;erste_nennung;letzte_nennung;nennungsspanne_jahre;nennung_in_urkunden;nennung_in_buergerbuch;nennung_in_verlassenschaften;soziale_gruppe;beruf;unsicherheit_anmerkung
abel_krammer;Abel Krammer;Urkunden;1;1349;1349;0;StaAKr-0026;;;buerger;;
abraham_behaimb;Abraham Behamb;Bürgerbuch;1;1607;1607;0;;BB-2454;;buerger;;
abraham_berwalter;Abrahamb Berwalter;Bürgerbuch;1;1600;1600;0;;BB-2358;;buerger;;
abraham_eckl;Abraham Eickhl;Bürgerbuch;1;1605;1605;0;;BB-2417;;buerger;;
abraham_ernnsten;Abraham Ernnsten;Bürgerbuch;1;1581;1581;0;;BB-1850;;buerger;;
abraham_fraenzl;Abrahamb Fränzl;Bürgerbuch;1;1609;1609;0;;BB-2468;;buerger;;
abraham_frannck;Abraham Franckh;Bürgerbuch;1;1584;1584;0;;BB-2025;;buerger;;
abraham_holdnberger;Abrahamb Haldnberger|Abrahamb Holdnberger;Bürgerbuch;2;1578;1578;0;;BB-1721|BB-1738;;buerger;Nadler;
abraham_jaen;Abrahamb Jän;Bürgerbuch;2;1579;1579;0;;BB-1772|BB-1809;;buerger;Goldschmied;
abraham_kopeinl;Abraham Khopeinl;Bürgerbuch;1;1596;1596;0;;BB-2283;;buerger;Händler;
abraham_kostlach;Abraham Kostlach;Bürgerbuch;1;1569;1569;0;;BB-1336;;buerger;Hauer;
abraham_leuetl;Abrahamb Leütl;Bürgerbuch;1;1611;1611;0;;BB-2489;;buerger;;
abraham_peer;Abraham Peer;Bürgerbuch;1;1610;1610;0;;BB-2475;;buerger;;
abraham_pfaeffinger;Abrahamb Pfaffinger;Bürgerbuch;1;1601;1601;0;;BB-2375;;buerger;Bader;
abraham_puechamer;Abraham Puechamer;Bürgerbuch;1;1569;1569;0;;BB-1353;;buerger;;
abraham_puechhaurer;Abrahamb Puechhaurer;Bürgerbuch;1;1578;1578;0;;BB-1765;;buerger;;
abraham_schmidt;Abrahamb Schmidt;Bürgerbuch;1;1623;1623;0;;BB-2738;;buerger;;
abraham_seidner;Abrahamb Seidtner;Bürgerbuch;1;1587;1587;0;;BB-2080;;buerger;;
