signatur;datum;datum_normiert;datum_unsicher;jahr;orte;orte_unsicher;regest;personen;personen_id;personen_unsicher;kategorien;unsicherheit_anmerkung;foto_ordner
StaAKr-0001;1108 IX 6;1108_09_06;nein;1108;Tulln|Göttweig|Mautern an der Donau;nein;1108 IX 6, Tulln König Heinrich V. schenkt dem Stifte Götweig die Insel Mautarnergmerk auf der Donau Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Heinrich V.;heinrich_v;nein;Religion|Vermögen und Finanzen;;StaAKr-0001
StaAKr-0001a;1214;1214_00_00;ja;1214;Passau|Gobelsburg|Haindorf bei Langenlois|Grafendorf bei Gobelsburg|Zeiselberg bei Gobelsburg;nein;1214, Krems Bischof Manegold von Passau gestattet mit Zustimmung des Dechants Konrad von Krems, daß in der Kapelle von Gobelsburg. Haindorf Grafendorf und Zeiselberg pfarrkirliche Funktionen ausgeübt werden können. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Manegold von Passau|Konrad von Krems;manegold_von_passau|konrad_von_krems;nein;Religion;Datierung unsicher: Nur Jahresangabe im Quellentext überliefert, kein exaktes Tages-/Monatsdatum.;StaAKr-0001a
StaAKr-0001b;um 1230;1230_00_00;ja;1230;Marquartsurfar|St. Georgen an der Traisen;ja;um 1230, Krems Vergleich zwischen dem Dechant Konrad von Krems und dem Probst von St.Georgen über die Kirche in Marquensurfar. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Konrad;konrad_1230;nein;Religion;"Ortsidentifikation unsicher: Marquartsurfar (nicht eindeutig aus dem Regest-Text ableitbar) | Datierung unsicher: Nur ungefähre Datierung (""um 1230"") überliefert, kein exaktes Jahr.";StaAKr-0001b
StaAKr-UrkKr-0002;1250;1250_00_00;ja;1250;Krems;nein;1250, Krems ( in Chrembs ) Die Bürgerschaft von Krems und Stein ( universitas civium in Chrembs et in Stain ) stimmt zu ( arbitramur ), alle Freiheiten und Rechte ( omnem libertatem et singula iura ), die Kaiser Heinrich [II.] der Kirche St. Veit in Krems ( ecclesiam Sancti Viti in Chrembs ) gegeben hat, wie sie in den Privilegien des Kaisers ( ipsius regali privilegis ) festgeschrieben sind, anzuerkennen, da der Patron und das Seelenheil erfordern, dieser Sache angemessene Anerkennung ( condignam reverentiam totis viribus ) entgegenzubringen. Source Regest: Stadtarchiv Krems, 2020.;Heinrich II.;heinrich_ii;nein;Politik|Religion;Datierung unsicher: Nur Jahresangabe im Quellentext überliefert, kein exaktes Tages-/Monatsdatum.;StaAKr-UrkKr-0002
StAK-UrkKr-0002a;1259 XI 17;1259_11_17;nein;1259;Emmersdorf an der Donau;nein;1259 XI 17, Krems ( Chrembs ) König Ottokar [II. Premysl] von Böhmen erteilt ( duximus faciendam ) aus Freigiebigkeit und Gnade ( libertatem et gratiam ) allen Untertanen von Emmersdorf an der Donau ( universis hominibus suis in Eymersdorf ) aufgrund ihrer Not und Schwierigkeiten ( deffectus varios et pressuras ) alle Rechte ( omnibus iuribus ) vollständig und ohne Abschläge ( ex integro et in pleno ), wie sie die die Städte Krems und Stein ( quo gaudent in Chrems et in Steyn ) auf der Donau ( super danubio ) innehaben. Die Begünstigten sollen alle verliehenen Rechte ungestört genießen. Source Regest: Stadtarchiv Krems, 2020.;Ottokar II.;premysl_ottokar_ii;nein;Politik|Rechtswesen;;StAK-UrkKr-0002a
StAK-UrkKr-0003;1277 VI 12;1277_06_12;nein;1277;Wien|Krems;nein;1277 VI 12 [Insert] / 1472 II 5 [Vidimus], Wien (Wienne) [Insert] / Wien (Wienn) [Vidimus] Matthias, Abt des Schottenstifts in Wien, vidimiert (geben ... unser Vidimus) Bürgermeister, Rat und der gesamten Bürgerschaft der Stadt Krems (Krembs) auf deren Bitten die im Volltext inserierte Urkunde König Rudolfs [I.], nachdem die Supplikanten die lateinische Pergamenturkunde durch einen Boten (sanndtpoten) an den Aussteller überbringen haben lassen, damit dieser sie rechtsmäßig beglaubige (ware zeugnu?ss und vidimus u?nder u?nnserm Insigil geben), sobald er sie gelesen und für echt (in geschrifft und Insigiln gerechten) befunden hat. Insert: König Rudolf [I.] verleiht (duximus concedendam) der Bürgerschaft von Krems (Cives de Chrembsa) aufgrund von deren bedingungsloser Treue und der Unerschütterlichkeit ihrer Demut, die die Begünstigten gegenüber König und Reich entgegengebracht haben, und auch, da der Aussteller aufgrund der Not und den Beschädigungen der Stadt (civitatisque ipsorum indigneciam et ruinam) Mitleid empfindet (compatimur), alle Rechte, Freiheiten und Zugehörungen (iuribus, libertatibus et eiusdem attinentiis universis) auf der steinernen Mautbrücke (Mutam Pontis sublapide) in Krems, solange sie diese für den Schutz und die Befestigung der Stadt (munienda sive firmanda ipsa Civitate) benötigen, sofern das durch die Maut eingenommene Geld (Mute Pecunia) durch ehrliche und treue Männern für nichts anderes als den Wiederaufbau und für ein einziges Jahr eingenommen wird. Siegler: der Aussteller. Quelle Regest: Stadtarchiv Krems, 2020.;Abt Matthias|Rudolf I.;abt_matthias|rudolf_i;nein;Politik|Stadt und Raum|Vermögen und Finanzen|Wirtschaft;;StAK-UrkKr-0003
StaAKr-0004;1295 X 28;1295_10_28;nein;1295;Passau;nein;1295 X 28, Krems Bischof Wernhard von Passau bestätigt die Erlaubnis des Dechants und Pfarrers Gottgfried von Krems, dass an dem wiedererrichteten Bürgerspitale daselbst ein Priester angestellte werden dürfe. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Wernhard von Passau|Gottgfried von Krems;wernhard_von_passau|gottgfried_von_krems;nein;Gesundheit|Religion|Soziales Leben;;StaAKr-0004
StAK-UrkKr-0004a;1296 XII 28;1296_12_28;nein;1296;Krems;nein;1296 XII 28, Krems ( in Chremsa ) Herzog Albrecht [I.] von Österreich bestätigt ( approbamus ) den Kürschnern in Krems ( cerdonum in Chrems ) die Rechte und rechtmäßigen Gewohnheiten ( iura et honestas consuetudines ), die sie bis dahin ehrbar geführt haben, und gewährt ( concedentes ) ihnen aus besonderer Gnade, das Privileg der Zunftbildung in ihrem Handwerk ( privilegio consortis seu fraternitatis in suo artificio ) zu genießen, dass, wenn jemand durch sie in die Zunft aufgenommen wird, ein Pfund Pfennige ( una libra denarum ) in die Lade der Ledererzunft ( ad cecham fraternitatis predictorum cerdonum ), ein Eimer ( urna ) Wein zur Verpflegung ( solacio ) sowie dem Stadtrichter ( iudici loci ), der zu dieser Zeit amtiert, ein halbes Pfund Pfennige ( dimidia libra denarum ) gegeben werden soll, auf dass er Mitglied ( particeps ) mit allen Rechten und Privilegien ( omnibus iuribus et graciis ) der Zunft sei. Source Regest: Stadtarchiv Krems, 2020.;Albrecht I.;albrecht_i;nein;Rechtswesen|Wirtschaft;;StAK-UrkKr-0004a
StaAK-UrkKr-0005;1300;1300_00_00;ja;1300;Mautern an der Donau;nein;Anfang des 14. Jhdts. Zinsrotel mit einem Verzeichnis jener Untertanen in der Stadt Krems , die zu Michaelis Burgrecht ( pue?rchrecht ) den Kranken ( siechen ) [im Bürgerspital der Stadt Krems ] übergibt. Genannt sind Heinrich der Ircher , Seifried der Keller ( Celler ), Rudolf der Kramer ( chramer ), Rudlein Zoller , Rudolf der Pech , das Stift Zwettl ( hern von Zwetel ), Berthold der Schneider ( Sneider ), der lange Walchun , der Grabmeister , das Unghaurn -Haus, der Salman -Keller, der Zaizmaer , Konrad der Durst ( Du?rst ), Andreas Mühldorfer ( Muldorfer ), Friedrich der Haller , der Pausman , erneut Rudolf der Pech , Friedrich der Eisner , Heinrich der Harmlast , Otto der Salzmann ( Salzman ), Peter , Hildebrand ( Hilprant ), Rewein , Friedrich der Stein ( Stain ), Konrad der Öler , Ulrich von St. Michael ( sand Michel ), Frenchin von Radendorf , Gerbirg Leubserin , Rudel Pofla , Ludwig in dem alten Spital , die Zuntin , Albrecht der Ringberger ( Ringwerger ), die Ehefrau von Otto Pech, Seidel die Ehefrau von Seifried Hartsaid, Ulrich Misenwech, Thomas der Floßhacker (Vlezhacher), die Zwaimanin, die krumme (chrump) Weberin, Berthold Wagenknecht (wagenchnecht), der Stichler, der Gefsl, Gisela Graserin, Eberhard in der Chue, die Ulreichin, der reiche Ulrich, Peter der Neustift, Seifried der Sohn von Rüdiger, Heinrich der Gereuter (Chreuter), der Manichman, Dietmar Prenner, Berthold der Part, der Parss, der Seefelder (Sevelder), Otto der Chransperger, Markhard der Rent, die Marincherin, Rapoto der Prenner, Heinrich der Sohn von Gottschalk, der Graniwan, Wolfhartin von Mautern (Meutarn), Lehentz Reinold, Heinrich der Chunter, Hildebrand der Junge, der Westerburger, Otto der Führer (Fuerer), die Herbortin, der Alram sowie Ulrich Gerler. Quelle Regest: Stadtarchiv Krems, 2020.;Heinrich Ircher|Seifried Keller|Rudolf Kramer|Rudlein Zoller|Rudolf der Pech|Berthold Schneider|Walchun|Konrad Durst|Andreas Mühldorfer|Friedrich Haller|Friedrich Eisner|Heinrich Harmlast|Otto Salzmann|Peter|Hildebrand|Rewein|Friedrich Stein|Konrad Öler|Ulrich von St. Michael|Frenchin von Radendorf|Gerbirg Leubserin|Rudel Pofla|Ludwig|Albrecht Ringberger|Otto Pech|Seidel|Seifried Hartsaid|Ulrich Misenwech|Thomas Floßhacker|Berthold Wagenknecht|Gisela Graserin|Eberhard|Ulrich|Peter Neustift|Seifried|Rüdiger|Heinrich Gereuter|Dietmar Prenner|Berthold Part|Otto Chransperger|Markhard Rent|Rapoto Prenner|Heinrich|Gottschalk|Wolfhartin von Mautern|Lehentz Reinold|Heinrich Chunter|Hildebrand Junge|Otto Führer|Alram|Ulrich Gerler;heinrich_ircher|seifried_keller|rudolf_kramer|rudlein_zoller|rudolf_der_pech|berthold_schneider|walchun_1300|konrad_durst|andreas_muehldorfer|friedrich_haller|friedrich_eisner|heinrich_harmlast|otto_salzmann|peter_1300|hildebrand_1300|rewein_1300|friedrich_stein|konrad_oeler|ulrich_von_st_michael|frenchin_von_radendorf|gerbirg_leubserin|rudel_pofla|ludwig_1300|albrecht_ringberger|otto_pech|seidel_1300|seifried_hartsaid|ulrich_misenwech|thomas_flosshacker|berthold_wagenknecht|gisela_graserin|eberhard_1300|ulrich_1300|peter_neustift|seifried_1300|ruediger_1300|heinrich_gereuter|dietmar_prenner|berthold_part|otto_chransperger|markhard_rent|rapoto_prenner|heinrich_1300|gottschalk_1300|wolfhartin_von_mautern|lehentz_reinold|heinrich_chunter|hildebrand_junge|otto_fuehrer|alram_1300|ulrich_gerler;nein;Gesundheit|Soziales Leben|Vermögen und Finanzen;Datierung unsicher: Nur Jahresangabe im Quellentext überliefert, kein exaktes Tages-/Monatsdatum.;StaAK-UrkKr-0005
StaAKr-0006;1301 IV 22;1301_04_22;nein;1301;Sankt Pölten|Passau;nein;1301 IV 22, St. Pölten Bischof Wernhard von Passau gewährt zu Ehren der heil. Maria einen Ablass und lässt diesen durch Dechant Gotfried im Kremser Dechanat verkünden. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Wernhard von Passau|Dechant Gotfried;wernhard_von_passau|dechant_gotfried;nein;Religion;;StaAKr-0006
